Conventions,G,BADC-CSV,1,,,,,,,,,,,,,,,,,,
01/01/1980 15:00,DCNN,1280,1,1,MODLERAD,163,2001,25,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
01/01/1980 16:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
01/01/1980 17:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
01/01/1980 18:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
01/01/1980 19:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
01/01/1980 20:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
01/01/1980 21:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
01/01/1980 22:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
01/01/1980 23:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
01/01/1980 23:59,DCNN,1280,24,1,DRADR35,163,2001,2196,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
02/01/1980 00:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
02/01/1980 01:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
02/01/1980 02:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
02/01/1980 03:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
02/01/1980 04:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
02/01/1980 05:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
02/01/1980 06:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
02/01/1980 07:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
02/01/1980 08:00,DCNN,1280,1,1,MODLERAD,163,2001,11,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
02/01/1980 09:00,DCNN,1280,1,1,MODLERAD,163,2001,72,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
02/01/1980 10:00,DCNN,1280,1,1,MODLERAD,163,2001,162,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
02/01/1980 11:00,DCNN,1280,1,1,MODLERAD,163,2001,194,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
02/01/1980 12:00,DCNN,1280,1,1,MODLERAD,163,2001,252,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
02/01/1980 13:00,DCNN,1280,1,1,MODLERAD,163,2001,281,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
02/01/1980 14:00,DCNN,1280,1,1,MODLERAD,163,2001,144,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
02/01/1980 15:00,DCNN,1280,1,1,MODLERAD,163,2001,4,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
02/01/1980 16:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
02/01/1980 17:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
02/01/1980 18:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
02/01/1980 19:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
02/01/1980 20:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
02/01/1980 21:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
02/01/1980 22:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
02/01/1980 23:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
02/01/1980 23:59,DCNN,1280,24,1,DRADR35,163,2001,1120,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
03/01/1980 00:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
03/01/1980 01:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
03/01/1980 02:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
03/01/1980 03:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
03/01/1980 04:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
03/01/1980 05:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
03/01/1980 06:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
03/01/1980 07:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
03/01/1980 08:00,DCNN,1280,1,1,MODLERAD,163,2001,4,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
03/01/1980 09:00,DCNN,1280,1,1,MODLERAD,163,2001,22,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
03/01/1980 10:00,DCNN,1280,1,1,MODLERAD,163,2001,47,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
03/01/1980 11:00,DCNN,1280,1,1,MODLERAD,163,2001,94,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
03/01/1980 12:00,DCNN,1280,1,1,MODLERAD,163,2001,119,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
03/01/1980 13:00,DCNN,1280,1,1,MODLERAD,163,2001,76,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
03/01/1980 14:00,DCNN,1280,1,1,MODLERAD,163,2001,25,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
03/01/1980 15:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
03/01/1980 16:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
03/01/1980 17:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
03/01/1980 18:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
03/01/1980 19:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
03/01/1980 20:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
03/01/1980 21:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
03/01/1980 22:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
03/01/1980 23:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
03/01/1980 23:59,DCNN,1280,24,1,DRADR35,163,2001,385,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
04/01/1980 00:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
04/01/1980 01:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
04/01/1980 02:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
04/01/1980 03:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
04/01/1980 04:00,DCNN,1280,1,1,MODLERAD,163,2001,0,9,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
